Date,Baseline,AU & AD & S
2021-05-28,30450.0,30450.0
2021-06-01,30640.0,30640.0
2021-06-02,28800.0,28800.0
2021-06-03,28040.0,28040.0
2021-06-04,28980.0,28980.0
2021-06-07,28790.0,28790.0
2021-06-08,28130.0,28130.0
2021-06-09,27840.0,27840.0
2021-06-10,28370.0,28370.0
2021-06-11,29180.0,29180.0
2021-06-14,29980.0,29980.0
2021-06-15,27660.0,27660.0
2021-06-16,26460.0,26460.0
2021-06-17,26450.0,26450.0
2021-06-18,24220.0,24220.0
2021-06-21,25770.0,25770.0
2021-06-22,25300.0,25300.0
2021-06-23,27130.0,27130.0
2021-06-24,29730.0,29730.0
2021-06-25,30150.0,30150.0
2021-06-28,28370.0,28370.0
2021-06-29,25730.0,25730.0
2021-06-30,27570.0,27570.0
2021-07-01,29060.0,29060.0
2021-07-02,28910.0,28910.0
2021-07-06,25490.0,25490.0
2021-07-07,24620.0,24620.0
2021-07-08,24600.0,24600.0
2021-07-09,28840.0,28840.0
2021-07-12,36180.0,36180.0
2021-07-13,35450.0,35450.0
2021-07-14,35220.0,35220.0
2021-07-15,35950.0,35950.0
2021-07-16,31110.0,31110.0
2021-07-19,24750.0,24750.0
2021-07-20,28550.0,28550.0
2021-07-21,28690.0,28690.0
2021-07-22,26930.0,26930.0
2021-07-23,27940.0,27940.0
2021-07-26,30540.0,30540.0
2021-07-27,31300.0,31300.0
2021-07-28,30900.0,30900.0
2021-07-29,30150.0,30150.0
2021-07-30,27820.0,27820.0
2021-08-02,27350.0,27350.0
2021-08-03,24790.0,24790.0
2021-08-04,24380.0,24380.0
2021-08-05,28510.0,28510.0
2021-08-06,28930.0,28930.0
2021-08-09,28520.0,28520.0
2021-08-10,28870.0,28870.0
2021-08-11,29890.0,29890.0
2021-08-12,31090.0,31090.0
2021-08-13,32880.0,32880.0
2021-08-16,30890.0,30890.0
2021-08-17,27630.0,27630.0
2021-08-18,26540.0,26540.0
2021-08-19,25050.0,25050.0
2021-08-20,26920.0,26920.0
2021-08-23,29460.0,29460.0
2021-08-24,30270.0,30270.0
2021-08-25,30110.0,30110.0
2021-08-26,28360.0,28360.0
2021-08-27,31940.0,31940.0
2021-08-30,31780.0,31780.0
2021-08-31,33100.0,33100.0
2021-09-01,35280.0,35280.0
2021-09-02,33660.0,33660.0
2021-09-03,32800.0,32800.0
2021-09-07,36140.0,36140.0
