Date,Baseline,BBP & OBV & RSI & AU & WPR,BBP & OBV & RSI & AD & WPR,BBP & OBV & RSI & S & WPR,BBP & OBV & AU & AD & WPR,BBP & OBV & AU & S & WPR,BBP & OBV & AD & S & WPR,BBP & RSI & AU & AD & WPR,BBP & RSI & AU & S & WPR,BBP & RSI & AD & S & WPR,BBP & AU & AD & S & WPR,OBV & RSI & AU & AD & WPR,OBV & RSI & AU & S & WPR,OBV & RSI & AD & S & WPR,OBV & AU & AD & S & WPR,RSI & AU & AD & S & WPR
2020-05-22,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-30180.0,-68310.0,-30180.0,-30180.0,-30180.0,-12130.0
2020-05-26,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-27250.0,-68310.0,-27250.0,-27250.0,-27250.0,-9200.0
2020-05-27,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-26670.0,-68310.0,-26670.0,-26670.0,-26670.0,-8620.0
2020-05-28,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-31450.0,-68310.0,-31450.0,-31450.0,-31450.0,-13400.0
2020-05-29,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-30900.0,-68310.0,-30900.0,-30900.0,-30900.0,-12850.0
2020-06-01,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-29430.0,-68310.0,-29430.0,-29430.0,-29430.0,-11380.0
2020-06-02,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-29450.0,-68310.0,-29450.0,-29450.0,-29450.0,-11400.0
2020-06-03,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-71740.0,-26020.0,-26020.0,-26020.0,-7970.0
2020-06-04,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-24510.0,-71740.0,-24510.0,-24510.0,-24510.0,-6460.0
2020-06-05,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-23380.0,-71740.0,-23380.0,-23380.0,-23380.0,-5330.0
2020-06-08,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-20920.0,-71740.0,-20920.0,-20920.0,-20920.0,-2870.0
2020-06-09,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-24310.0,-71740.0,-24310.0,-24310.0,-24310.0,-6260.0
2020-06-10,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-26020.0,-71740.0,-26020.0,-26020.0,-26020.0,-7970.0
2020-06-11,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-35560.0,-71740.0,-35560.0,-35560.0,-35560.0,-17510.0
2020-06-12,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-32710.0,-71740.0,-32710.0,-32710.0,-32710.0,-17510.0
2020-06-15,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-31120.0,-71740.0,-31120.0,-31120.0,-31120.0,-15920.0
2020-06-16,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-29760.0,-71740.0,-29760.0,-29760.0,-29760.0,-14560.0
2020-06-17,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-70950.0,-30550.0,-30550.0,-30550.0,-15350.0
2020-06-18,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-29830.0,-71670.0,-29830.0,-29830.0,-29830.0,-14630.0
2020-06-19,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-33850.0,-67650.0,-33850.0,-33850.0,-33850.0,-18650.0
2020-06-22,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-32280.0,-69220.0,-32280.0,-32280.0,-32280.0,-17080.0
2020-06-23,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-31610.0,-69220.0,-31610.0,-31610.0,-31610.0,-16410.0
2020-06-24,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-36130.0,-73740.0,-36130.0,-36130.0,-36130.0,-20930.0
2020-06-25,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-36840.0,-74450.0,-36840.0,-36840.0,-36840.0,-20930.0
2020-06-26,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-39100.0,-76710.0,-39100.0,-39100.0,-39100.0,-20930.0
2020-06-29,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-36680.0,-74290.0,-36680.0,-36680.0,-36680.0,-20930.0
2020-06-30,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-36690.0,-74300.0,-36690.0,-36690.0,-36690.0,-20940.0
