Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2020-03-03,-31750.0,13610.0,-31750.0,-31750.0,-31750.0,-32160.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,-31750.0,31750.0,22680.0,-31750.0,-31750.0
2020-03-04,-29020.0,16340.0,-29020.0,-29020.0,-29020.0,-29430.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,-29020.0,29020.0,22680.0,-29020.0,-29020.0
2020-03-05,-34220.0,21540.0,-34220.0,-34220.0,-34220.0,-34630.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,-34220.0,34220.0,27880.0,-34220.0,-34220.0
2020-03-06,-32930.0,22830.0,-32930.0,-32930.0,-32930.0,-33340.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,-32930.0,32930.0,27880.0,-32930.0,-32930.0
2020-03-09,-43850.0,33750.0,-43850.0,-43850.0,-43850.0,-44260.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,-43850.0,43850.0,38800.0,-43850.0,-43850.0
2020-03-10,-36740.0,40860.0,-36740.0,-36740.0,-36740.0,-37150.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,-36740.0,36740.0,38800.0,-36740.0,-36740.0
2020-03-11,-42690.0,46810.0,-42690.0,-42690.0,-42690.0,-31200.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,-42690.0,42690.0,44750.0,-42690.0,-42690.0
2020-03-12,-56390.0,33110.0,-56390.0,-56390.0,-56390.0,-44900.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,-56390.0,56390.0,44750.0,-56390.0,-56390.0
2020-03-13,-45680.0,22400.0,-45680.0,-45680.0,-45680.0,-34190.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,-45680.0,45680.0,34040.0,-45680.0,-45680.0
2020-03-16,-53190.0,14890.0,-53190.0,-53190.0,-53190.0,-26680.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,-53190.0,53190.0,34040.0,-53190.0,-53190.0
