Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2018-03-12,-6450.0,-9570.0,-6450.0,-6450.0,-6450.0,-3460.0,-6450.0,-6450.0,-1650.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,-6450.0,6450.0,-1560.0,-6450.0,-6450.0
2018-03-13,-7850.0,-10970.0,-7850.0,-7850.0,-7850.0,-2060.0,-7850.0,-7850.0,-3050.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,-7850.0,7850.0,-1560.0,-7850.0,-7850.0
2018-03-14,-7690.0,-11130.0,-7690.0,-7690.0,-7690.0,-2220.0,-7690.0,-7690.0,-2890.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,-7690.0,7690.0,-1720.0,-7690.0,-7690.0
2018-03-15,-8330.0,-11770.0,-8330.0,-8330.0,-8330.0,-1580.0,-8330.0,-8330.0,-3530.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,-8330.0,8330.0,-1720.0,-8330.0,-8330.0
2018-03-16,-8690.0,-11410.0,-8690.0,-8690.0,-8690.0,-1940.0,-8690.0,-8690.0,-3890.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,-8690.0,8690.0,-1360.0,-8690.0,-8690.0
2018-03-19,-10040.0,-12760.0,-10040.0,-10040.0,-10040.0,-3290.0,-10040.0,-10040.0,-5240.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,-10040.0,10040.0,-1360.0,-10040.0,-10040.0
2018-03-20,-10170.0,-12630.0,-10170.0,-10170.0,-10170.0,-3420.0,-10170.0,-10170.0,-5370.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,-10170.0,10170.0,-1230.0,-10170.0,-10170.0
2018-03-21,-9710.0,-12170.0,-9710.0,-9710.0,-9710.0,-2960.0,-9710.0,-9710.0,-4910.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,-9710.0,9710.0,-1230.0,-9710.0,-9710.0
2018-03-22,-10900.0,-10980.0,-10900.0,-10900.0,-10900.0,-1770.0,-10900.0,-10900.0,-6100.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,-10900.0,10900.0,-40.0,-10900.0,-10900.0
2018-03-23,-12900.0,-12980.0,-12900.0,-12900.0,-12900.0,-3770.0,-12900.0,-12900.0,-8100.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,12900.0,-40.0,-12900.0,-12900.0
2018-03-26,-10850.0,-15030.0,-10850.0,-10850.0,-10850.0,-1720.0,-10850.0,-10850.0,-6050.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,-10850.0,10850.0,-2090.0,-10850.0,-10850.0
2018-03-27,-12100.0,-16280.0,-12100.0,-12100.0,-12100.0,-470.0,-12100.0,-12100.0,-7300.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,-12100.0,12100.0,-2090.0,-12100.0,-12100.0
2018-03-28,-12900.0,-15480.0,-12900.0,-12900.0,-12900.0,-1270.0,-12900.0,-12900.0,-8100.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,-12900.0,12900.0,-1290.0,-12900.0,-12900.0
2018-03-29,-11050.0,-13630.0,-11050.0,-11050.0,-11050.0,580.0,-11050.0,-11050.0,-6250.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,-11050.0,11050.0,-1290.0,-11050.0,-11050.0
2018-04-02,-12780.0,-11900.0,-12780.0,-12780.0,-12780.0,2310.0,-12780.0,-12780.0,-7980.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,-12780.0,12780.0,440.0,-12780.0,-12780.0
2018-04-03,-12040.0,-11160.0,-12040.0,-12040.0,-12040.0,3050.0,-12040.0,-12040.0,-7240.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,-12040.0,12040.0,440.0,-12040.0,-12040.0
2018-04-04,-10560.0,-12640.0,-10560.0,-10560.0,-10560.0,1570.0,-10560.0,-10560.0,-5760.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,-10560.0,10560.0,-1040.0,-10560.0,-10560.0
2018-04-05,-9430.0,-11510.0,-9430.0,-9430.0,-9430.0,1570.0,-9430.0,-9430.0,-4630.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,-9430.0,9430.0,-1040.0,-9430.0,-9430.0
